Time,Signal
-0.004988,-3.6
-0.004984,-3.6
-0.00498,-3.6
-0.004976,-3.2
-0.004972,-3.2
-0.004968,-3.2
-0.004964,-3.2
-0.00496,-3.2
-0.004956,-3.2
-0.004952,-3.2
-0.004948,-3.2
-0.004944,-3.2
-0.00494,-3.2
-0.004936,-3.2
-0.004932,-3.2
-0.004928,-3.2
-0.004924,-3.2
-0.00492,-3.2
-0.004916,-3.6
-0.004912,-2.8
-0.004908,-3.2
-0.004904,-3.2
-0.0049,-3.2
-0.004896,-3.2
-0.004892,-3.2
-0.004888,-3.2
-0.004884,-2.8
-0.00488,-2.8
-0.004876,-3.2
-0.004872,-2.8
-0.004868,-2.8
-0.004864,-2.8
-0.00486,-2.8
-0.004856,-2.8
-0.004852,-2.8
-0.004848,-2.8
-0.004844,-2.8
-0.00484,-2.8
-0.004836,-2.4
-0.004832,-2.8
-0.004828,-2.8
-0.004824,-2.4
-0.00482,-2.8
-0.004816,-2.4
-0.004812,-2.4
-0.004808,-2.0
-0.004804,-2.4
-0.0048,-2.4
-0.004796,-2.4
-0.004792,-2.4
-0.004788,-2.4
-0.004784,-2.4
-0.00478,-2.4
-0.004776,-2.4
-0.004772,-2.0
-0.004768,-2.0
-0.004764,-2.4
-0.00476,-2.0
-0.004756,-2.0
-0.004752,-2.0
-0.004748,-2.0
-0.004744,-2.0
-0.00474,-2.0
-0.004736,-2.0
-0.004732,-2.0
-0.004728,-2.0
-0.004724,-1.6
-0.00472,-1.6
-0.004716,-1.6
-0.004712,-1.6
-0.004708,-2.0
-0.004704,-2.0
-0.0047,-2.0
-0.004696,-1.6
-0.004692,-1.6
-0.004688,-1.6
-0.004684,-1.6
-0.00468,-1.6
-0.004676,-2.0
-0.004672,-1.6
-0.004668,-1.2
-0.004664,-1.2
-0.00466,-1.6
-0.004656,-1.2
-0.004652,-1.2
-0.004648,-1.2
-0.004644,-1.6
-0.00464,-1.2
-0.004636,-1.2
-0.004632,-1.2
-0.004628,-1.2
-0.004624,-1.2
-0.00462,-1.2
-0.004616,-1.2
-0.004612,-1.2
-0.004608,-0.8
-0.004604,-0.8
-0.0046,-0.8
-0.004596,-0.8
-0.004592,-0.8
-0.004588,-0.8
-0.004584,-0.8
-0.00458,-0.8
-0.004576,-0.8
-0.004572,-0.8
-0.004568,-0.8
-0.004564,-0.4
-0.00456,-0.4
-0.004556,-0.8
-0.004552,-0.4
-0.004548,-0.8
-0.004544,-0.4
-0.00454,-0.4
-0.004536,-0.8
-0.004532,-0.4
-0.004528,-0.4
-0.004524,-0.4
-0.00452,-0.4
-0.004516,-0.4
-0.004512,-0.4
-0.004508,-0.4
-0.004504,-0.4
-0.0045,-0.4
-0.004496,-0.4
-0.004492,-0.4
-0.004488,0.0
-0.004484,0.0
-0.00448,-0.4
-0.004476,0.0
-0.004472,0.0
-0.004468,0.0
-0.004464,0.0
-0.00446,0.4
-0.004456,0.0
-0.004452,0.0
-0.004448,0.0
-0.004444,0.0
-0.00444,0.0
-0.004436,0.0
-0.004432,0.4
-0.004428,0.4
-0.004424,0.4
-0.00442,0.4
-0.004416,0.4
-0.004412,0.4
-0.004408,0.4
-0.004404,0.4
-0.0044,0.4
-0.004396,0.4
-0.004392,0.4
-0.004388,0.4
-0.004384,0.4
-0.00438,0.4
-0.004376,0.8
-0.004372,0.8
-0.004368,0.8
-0.004364,0.8
-0.00436,0.8
-0.004356,0.8
-0.004352,0.8
-0.004348,0.8
-0.004344,0.8
-0.00434,0.8
-0.004336,0.8
-0.004332,0.4
-0.004328,0.8
-0.004324,0.8
-0.00432,0.8
-0.004316,1.2
-0.004312,1.2
-0.004308,1.2
-0.004304,1.2
-0.0043,0.8
-0.004296,0.8
-0.004292,1.2
-0.004288,0.8
-0.004284,1.2
-0.00428,1.2
-0.004276,1.2
-0.004272,1.6
-0.004268,1.2
-0.004264,1.2
-0.00426,1.2
-0.004256,1.2
-0.004252,1.2
-0.004248,1.2
-0.004244,1.2
-0.00424,1.2
-0.004236,1.2
-0.004232,1.2
-0.004228,1.2
-0.004224,1.6
-0.00422,1.6
-0.004216,1.6
-0.004212,1.2
-0.004208,1.2
-0.004204,1.2
-0.0042,1.2
-0.004196,1.6
-0.004192,1.6
-0.004188,1.2
-0.004184,1.6
-0.00418,1.6
-0.004176,1.6
-0.004172,1.6
-0.004168,1.6
-0.004164,1.6
-0.00416,1.6
-0.004156,1.6
-0.004152,1.6
-0.004148,1.6
-0.004144,1.6
-0.00414,1.6
-0.004136,1.6
-0.004132,1.6
-0.004128,1.6
-0.004124,1.6
-0.00412,1.6
-0.004116,1.6
-0.004112,1.6
-0.004108,1.6
-0.004104,1.6
-0.0041,2.0
-0.004096,1.6
-0.004092,1.6
-0.004088,1.6
-0.004084,1.6
-0.00408,1.6
-0.004076,1.6
-0.004072,1.6
-0.004068,2.0
-0.004064,1.6
-0.00406,1.6
-0.004056,1.6
-0.004052,2.0
-0.004048,2.0
-0.004044,1.6
-0.00404,1.6
-0.004036,1.6
-0.004032,1.6
-0.004028,2.0
-0.004024,2.0
-0.00402,2.0
-0.004016,1.6
-0.004012,1.6
-0.004008,2.0
-0.004004,2.0
-0.004,2.0
-0.003996,2.0
-0.003992,2.0
-0.003988,1.6
-0.003984,1.6
-0.00398,1.6
-0.003976,1.6
-0.003972,2.0
-0.003968,2.0
-0.003964,1.6
-0.00396,2.0
-0.003956,1.6
-0.003952,1.6
-0.003948,1.6
-0.003944,1.6
-0.00394,1.6
-0.003936,1.6
-0.003932,1.6
-0.003928,1.6
-0.003924,2.0
-0.00392,1.6
-0.003916,1.6
-0.003912,1.6
-0.003908,1.6
-0.003904,1.6
-0.0039,1.6
-0.003896,1.6
-0.003892,1.6
-0.003888,1.6
-0.003884,1.6
-0.00388,1.6
-0.003876,2.0
-0.003872,2.0
-0.003868,1.6
-0.003864,1.6
-0.00386,1.2
-0.003856,1.6
-0.003852,1.6
-0.003848,1.6
-0.003844,1.6
-0.00384,1.6
-0.003836,1.6
-0.003832,1.2
-0.003828,1.6
-0.003824,1.6
-0.00382,1.6
-0.003816,1.6
-0.003812,1.6
-0.003808,1.2
-0.003804,1.2
-0.0038,1.2
-0.003796,1.2
-0.003792,1.2
-0.003788,1.6
-0.003784,1.2
-0.00378,1.2
-0.003776,1.2
-0.003772,1.2
-0.003768,1.2
-0.003764,1.2
-0.00376,1.2
-0.003756,1.2
-0.003752,1.2
-0.003748,1.2
-0.003744,1.2
-0.00374,1.6
-0.003736,1.2
-0.003732,1.2
-0.003728,0.8
-0.003724,1.2
-0.00372,1.2
-0.003716,0.8
-0.003712,0.8
-0.003708,1.2
-0.003704,1.2
-0.0037,0.8
-0.003696,0.8
-0.003692,0.8
-0.003688,0.8
-0.003684,0.8
-0.00368,0.8
-0.003676,0.8
-0.003672,0.8
-0.003668,0.8
-0.003664,0.8
-0.00366,0.8
-0.003656,0.4
-0.003652,0.8
-0.003648,0.8
-0.003644,0.4
-0.00364,0.4
-0.003636,0.8
-0.003632,0.8
-0.003628,0.4
-0.003624,0.4
-0.00362,0.4
-0.003616,0.8
-0.003612,0.4
-0.003608,0.4
-0.003604,0.4
-0.0036,0.0
-0.003596,0.4
-0.003592,0.4
-0.003588,0.4
-0.003584,0.4
-0.00358,0.0
-0.003576,0.4
-0.003572,0.4
-0.003568,0.0
-0.003564,0.4
-0.00356,0.0
-0.003556,0.4
-0.003552,0.4
-0.003548,0.4
-0.003544,0.0
-0.00354,0.0
-0.003536,0.0
-0.003532,0.0
-0.003528,-0.4
-0.003524,-0.4
-0.00352,0.0
-0.003516,0.4
-0.003512,0.0
-0.003508,0.0
-0.003504,0.0
-0.0035,-0.4
-0.003496,-0.4
-0.003492,-0.4
-0.003488,-0.4
-0.003484,-0.4
-0.00348,-0.4
-0.003476,-0.4
-0.003472,-0.4
-0.003468,-0.4
-0.003464,-0.4
-0.00346,-0.4
-0.003456,-0.4
-0.003452,-0.4
-0.003448,-0.4
-0.003444,-0.4
-0.00344,-0.4
-0.003436,-0.4
-0.003432,-0.4
-0.003428,-0.4
-0.003424,-0.4
-0.00342,-0.4
-0.003416,-0.4
-0.003412,-0.4
-0.003408,-0.8
-0.003404,-0.4
-0.0034,-0.4
-0.003396,-0.8
-0.003392,-0.8
-0.003388,-0.8
-0.003384,-0.8
-0.00338,-0.8
-0.003376,-0.8
-0.003372,-0.8
