,,,-00.004440000000,  14.00000,
,,,-00.004436000000,  14.00000,
,,,-00.004432000000,  14.40000,
,,,-00.004428000000,  14.80000,
,,,-00.004424000000,  15.20000,
,,,-00.004420000000,  15.20000,
,,,-00.004416000000,  15.20000,
,,,-00.004412000000,  15.60000,
,,,-00.004408000000,  16.00000,
,,,-00.004404000000,  16.00000,
,,,-00.004400000000,  16.40000,
,,,-00.004396000000,  16.80000,
,,,-00.004392000000,  16.80000,
,,,-00.004388000000,  17.20000,
,,,-00.004384000000,  17.20000,
,,,-00.004380000000,  17.60000,
,,,-00.004376000000,  17.60000,
,,,-00.004372000000,  18.00000,
,,,-00.004368000000,  18.00000,
,,,-00.004364000000,  18.40000,
,,,-00.004360000000,  18.80000,
,,,-00.004356000000,  18.80000,
,,,-00.004352000000,  19.20000,
,,,-00.004348000000,  19.60000,
,,,-00.004344000000,  19.20000,
,,,-00.004340000000,  19.60000,
,,,-00.004336000000,  19.60000,
,,,-00.004332000000,  20.00000,
,,,-00.004328000000,  19.60000,
,,,-00.004324000000,  20.40000,
,,,-00.004320000000,  20.80000,
,,,-00.004316000000,  20.80000,
,,,-00.004312000000,  20.80000,
,,,-00.004308000000,  20.80000,
,,,-00.004304000000,  20.80000,
,,,-00.004300000000,  21.20000,
,,,-00.004296000000,  21.60000,
,,,-00.004292000000,  21.60000,
,,,-00.004288000000,  22.00000,
,,,-00.004284000000,  21.60000,
,,,-00.004280000000,  22.00000,
,,,-00.004276000000,  22.00000,
,,,-00.004272000000,  22.00000,
,,,-00.004268000000,  22.00000,
,,,-00.004264000000,  22.00000,
,,,-00.004260000000,  22.40000,
,,,-00.004256000000,  22.40000,
,,,-00.004252000000,  22.40000,
,,,-00.004248000000,  22.80000,
,,,-00.004244000000,  22.80000,
,,,-00.004240000000,  23.20000,
,,,-00.004236000000,  23.20000,
,,,-00.004232000000,  23.20000,
,,,-00.004228000000,  23.20000,
,,,-00.004224000000,  23.20000,
,,,-00.004220000000,  23.20000,
,,,-00.004216000000,  23.60000,
,,,-00.004212000000,  23.20000,
,,,-00.004208000000,  23.60000,
,,,-00.004204000000,  23.60000,
,,,-00.004200000000,  23.60000,
,,,-00.004196000000,  23.60000,
,,,-00.004192000000,  23.60000,
,,,-00.004188000000,  23.60000,
,,,-00.004184000000,  23.60000,
,,,-00.004180000000,  23.60000,
,,,-00.004176000000,  24.00000,
,,,-00.004172000000,  23.60000,
,,,-00.004168000000,  24.00000,
,,,-00.004164000000,  24.00000,
,,,-00.004160000000,  24.00000,
,,,-00.004156000000,  24.00000,
,,,-00.004152000000,  24.00000,
,,,-00.004148000000,  24.00000,
